time_sec,n1,n2,n3
535.156,-0.880,0.800,-0.040
535.938,-0.110,0.530,-0.450
536.719,0.020,0.090,-0.690
537.500,0.240,-0.260,-0.700
538.281,0.140,-0.330,-0.560
539.062,0.400,-0.140,-0.240
539.844,1.140,-0.330,-0.020
540.625,0.890,-0.660,0.270
541.406,0.020,-0.470,0.660
542.188,-0.290,0.140,1.030
542.969,-0.140,0.280,0.860
543.750,-0.540,0.220,0.490
544.531,-0.560,0.310,0.340
545.312,-0.380,0.060,0.510
546.094,-0.050,-0.110,0.040
546.875,0.000,-0.380,-0.700
547.656,-0.440,-0.100,-0.790
548.438,0.130,0.260,-0.640
549.219,0.700,0.050,-0.330
550.000,0.590,-0.250,-0.190
550.781,-0.060,-0.350,0.080
551.562,-0.210,-0.040,0.330
552.344,-0.120,0.350,0.060
553.125,-0.070,0.430,-0.110
553.906,-0.210,0.440,0.120
554.688,0.070,0.460,0.200
555.469,0.200,0.190,0.000
556.250,-0.010,0.120,-0.290
557.031,0.240,0.220,-0.520
557.812,-0.140,0.270,-0.040
558.594,-0.440,0.740,0.560
559.375,0.330,0.770,0.700
560.156,0.380,-0.300,0.490
560.938,-0.480,-0.620,-0.020
561.719,-0.430,-0.310,-0.380
562.500,-0.110,-0.270,-0.400
563.281,0.420,-0.840,-0.600
564.062,-0.030,-1.130,-0.960
564.844,-0.020,-0.820,-0.590
565.625,0.250,-0.610,0.010
566.406,0.070,-0.140,0.010
567.188,0.470,0.030,0.060
567.969,0.270,-0.090,0.360
568.750,-0.010,0.100,0.620
569.531,-0.100,0.350,0.950
570.312,-0.350,0.340,0.770
571.094,-0.940,0.630,0.460
571.875,-0.110,0.690,0.270
572.656,0.490,0.100,-0.190
573.438,0.200,-0.310,-0.470
574.219,0.460,-0.630,-0.590
575.000,-0.220,-0.840,-0.400
575.781,-0.910,-0.170,-0.060
576.562,-0.910,0.940,0.300
577.344,0.030,1.560,0.230
578.125,0.870,1.410,-0.290
578.906,0.690,0.850,-0.140
579.688,0.880,0.410,-0.040
580.469,0.800,-0.460,0.200
581.250,0.190,-1.280,0.590
582.031,-0.570,-1.240,0.370
582.812,-1.320,-0.650,0.030
583.594,-1.280,0.290,-0.480
584.375,-0.260,0.890,-0.880
585.156,0.810,0.330,-0.870
585.938,0.600,-0.470,-0.490
586.719,-0.130,-0.310,-0.140
587.500,-0.460,0.280,0.220
588.281,0.030,0.480,0.540
589.062,0.400,0.050,0.320
589.844,-0.040,-0.020,0.010
590.625,0.110,0.270,-0.060
591.406,1.170,-0.140,-0.150
592.188,1.240,-1.090,-0.070
592.969,0.370,-1.580,0.310
593.750,-0.360,-1.650,0.530
594.531,-1.290,-1.050,0.640
595.312,-1.420,0.200,0.510
596.094,-0.720,0.730,0.190
596.875,-0.280,0.730,-0.350
597.656,-0.430,0.890,-0.540
598.438,0.050,1.080,-0.190
599.219,0.580,0.650,0.030
600.000,0.550,0.180,0.200
600.781,0.610,0.030,0.140
601.562,0.530,-0.030,0.030
602.344,0.710,0.050,-0.180
603.125,0.610,-0.310,0.010
603.906,0.100,-0.400,0.170
604.688,-0.650,-0.040,-0.070
605.469,-1.430,0.550,-0.010
606.250,-1.200,1.580,-0.090
607.031,0.090,1.700,-0.040
607.812,1.070,0.450,-0.390
608.594,0.730,-0.720,-0.710
609.375,0.200,-1.070,-0.490
610.156,-0.260,-0.960,-0.020
610.938,-0.510,-0.490,0.420
611.719,0.000,-0.260,0.080
612.500,-0.210,-0.270,-0.350
613.281,-0.160,-0.200,-0.140
614.062,-0.080,-0.230,0.140
614.844,-0.330,0.160,0.360
615.625,0.430,0.370,0.590
616.406,1.130,-0.160,0.200
617.188,0.600,-0.660,-0.120
617.969,0.100,-0.760,-0.080
618.750,-0.320,-0.690,-0.030
619.531,-0.580,-0.250,0.170
620.312,-0.270,0.100,0.320
